scenario_id,task_type,pantry_size,ingredients,disallowed_ingredients,target_response,notes
S01,recipe,sparse,"rice (500g, expires 2026-06-01), canned tomatoes (400g, expires 2026-08-01), garlic (3 cloves, expires 2026-05-20)","pasta, cheese, onion, meat","tomato garlic rice","sparse pantry, garlic near expiry"
S02,recipe,sparse,"eggs (4, expires 2026-05-12), butter (100g, expires 2026-05-15), flour (200g, expires 2026-07-01)","milk, sugar, oil","scrambled eggs or simple crepes","both butter and eggs near expiry"
S03,recipe,moderate,"potatoes (6, expires 2026-05-14), olive oil (200ml, expires 2026-09-01), rosemary (fresh, expires 2026-05-11), garlic (2 cloves, expires 2026-05-20), salt (unlimited), pepper (unlimited)","butter, cheese, sour cream, bacon","roasted rosemary potatoes","rosemary expires very soon"
S04,recipe,moderate,"lentils (300g, expires 2026-12-01), canned tomatoes (400g, expires 2026-08-01), onion (2, expires 2026-05-18), cumin (10g, expires 2026-10-01), olive oil (100ml, expires 2026-09-01), garlic (3 cloves, expires 2026-05-20)","meat, cream, pasta, cheese","lentil tomato soup","onion and garlic near expiry"
S05,recipe,moderate,"oats (400g, expires 2026-09-01), banana (2, expires 2026-05-10), honey (150g, expires 2027-01-01), cinnamon (5g, expires 2026-11-01), milk (300ml, expires 2026-05-11)","yoghurt, sugar, eggs, butter","banana oat porridge or overnight oats","banana and milk near expiry"
S06,substitution,sparse,"olive oil (200ml, expires 2026-09-01), lemon (1, expires 2026-05-20), garlic (2 cloves, expires 2026-05-20)","butter","olive oil","recipe calls for butter in a savory pan sauce; olive oil is valid substitute"
S07,substitution,sparse,"yoghurt (200g, expires 2026-05-12), lemon juice (50ml, expires 2026-05-20), salt (unlimited)","buttermilk","yoghurt thinned with lemon juice","recipe calls for buttermilk in a batter; yoghurt+lemon is valid"
S08,substitution,sparse,"honey (100g, expires 2027-01-01), water (unlimited)","sugar","honey","recipe calls for sugar in a simple glaze; honey is valid at reduced quantity"
S09,substitution,sparse,"applesauce (200g, expires 2026-05-18), oil (100ml, expires 2026-08-01)","eggs","applesauce","recipe calls for eggs in a muffin; applesauce is valid binding substitute"
S10,substitution,moderate,"vegetable broth (500ml, expires 2026-06-01), olive oil (100ml, expires 2026-09-01), onion (1, expires 2026-05-18), garlic (2 cloves, expires 2026-05-20)","chicken broth","vegetable broth","recipe calls for chicken broth in a soup; vegetable broth is valid"
S11,substitution,moderate,"greek yoghurt (150g, expires 2026-05-13), lemon (1, expires 2026-05-20), garlic (1 clove, expires 2026-05-20), olive oil (50ml, expires 2026-09-01)","sour cream","greek yoghurt","recipe calls for sour cream as a topping; greek yoghurt is valid"
S12,substitution,moderate,"banana (1 overripe, expires 2026-05-10), oil (100ml, expires 2026-08-01), sugar (100g, expires 2026-12-01)","eggs","overripe banana","recipe calls for eggs in banana bread; banana itself is valid binder"
S13,substitution,moderate,"canned chickpeas (400g, expires 2026-10-01), olive oil (100ml, expires 2026-09-01), lemon (1, expires 2026-05-20), garlic (1 clove, expires 2026-05-20)","tahini","extra olive oil and lemon","recipe calls for tahini in hummus; extra oil and lemon partially compensate"
S14,substitution,moderate,"milk (200ml, expires 2026-05-11), butter (50g, expires 2026-05-15), flour (100g, expires 2026-07-01)","heavy cream","milk and butter combined","recipe calls for heavy cream in a sauce; milk+butter is valid substitute"
S15,substitution,moderate,"vinegar (50ml, expires 2026-12-01), water (unlimited), salt (unlimited)","lemon juice","vinegar diluted with water","recipe calls for lemon juice in a dressing; diluted vinegar is valid"
S16,expiry,sparse,"spinach (100g, expires 2026-05-09), eggs (3, expires 2026-05-14), olive oil (100ml, expires 2026-09-01)","cheese, cream, pasta","spinach omelette","spinach expires today/tomorrow - must be used first"
S17,expiry,sparse,"milk (400ml, expires 2026-05-10), oats (300g, expires 2026-09-01), banana (1, expires 2026-05-09)","yoghurt, eggs, butter","banana oat smoothie or porridge","banana and milk both critical"
S18,expiry,moderate,"chicken breast (300g, expires 2026-05-09), garlic (2 cloves, expires 2026-05-20), olive oil (100ml, expires 2026-09-01), lemon (1, expires 2026-05-20), pepper (unlimited), salt (unlimited)","cream, pasta, cheese, vegetables","pan-fried lemon garlic chicken","chicken expires today - urgent"
S19,expiry,moderate,"tofu (200g, expires 2026-05-10), soy sauce (50ml, expires 2026-12-01), garlic (2 cloves, expires 2026-05-20), ginger (10g, expires 2026-05-13), sesame oil (30ml, expires 2026-08-01)","meat, rice, noodles, vegetables","pan-fried tofu with garlic ginger sauce","tofu and ginger both near expiry"
S20,expiry,moderate,"greek yoghurt (300g, expires 2026-05-10), honey (50g, expires 2027-01-01), oats (200g, expires 2026-09-01), berries (100g, expires 2026-05-09), lemon (1, expires 2026-05-20)","sugar, cream, eggs","yoghurt parfait or berry oat bowl","berries and yoghurt both near expiry"
