scenario_id,task_type,strategy,constraint_adherence,substitution_validity,consistency_score,response_preview
S01,recipe,zero-shot,1,N/A,0.312,"Given the available ingredients of rice (expires 2026-06-01), canned tomatoes (expires 2026-08-01), and garlic (expires 2026-05-20), you can make a quick and easy meal. Here’s a simple recipe:  ### Ga"
S02,recipe,zero-shot,1,N/A,0.319,"Given the ingredients you have—eggs, butter, and flour—and considering the expiration dates, here’s a quick and easy egg roll-in-flour recipe that will use up your perishable ingredients:  ### Simple "
S03,recipe,zero-shot,1,N/A,0.302,"Given the ingredients you have in your pantry, here's a quick and easy recipe that uses up some of the soon-expiring items:  ### Garlic Potato Mash  #### Ingredients: - Potatoes (6) - Olive oil (200ml"
S04,recipe,zero-shot,1,N/A,0.48,"Given the ingredients you have in your pantry, let's make a quick and easy meal that uses up some of the soon-to-expire items like the onion, garlic, and canned tomatoes.  ### Quick Tomato and Onion S"
S05,recipe,zero-shot,1,N/A,0.39,"Given your available ingredients, here’s a simple and quick recipe you can prepare using the items in your pantry:  ### Banana Oat Pancakes  **Ingredients:** - 2 bananas (use them as they are close to"
S06,substitution,zero-shot,0,1,0.331,"Since you only have olive oil, lemon, and garlic in your pantry, you can make a quick garlic and olive oil spread to use as a substitute for butter. Here’s how:  ### Garlic and Olive Oil Spread  **Ing"
S07,substitution,zero-shot,0,1,0.337,You can use the yoghurt in your pantry to make a quick buttermilk substitute for cooking or baking. Here’s how:  1. Pour 1/4 cup of plain yoghurt into a measuring cup. 2. Add 1 tablespoon of lemon jui
S08,substitution,zero-shot,0,1,0.325,"Since you mentioned you only have honey and water, you can use honey as a substitute for sugar in many recipes! For example, you could make a simple syrup by mixing 1:1 honey to water. Here’s how:  ##"
S09,substitution,zero-shot,0,1,0.567,"Since you mentioned you don't have eggs, we can still make a quick breakfast option using the ingredients in your pantry. How about making pancakes?  Here’s a simple recipe you can try:  **Ingredients"
S10,substitution,zero-shot,0,1,0.494,You can use your vegetable broth in place of chicken broth for this recipe. Here’s a quick soup recipe using the ingredients you have:  ### Vegetable Soup  **Ingredients:** - 500ml vegetable broth (ex
S11,substitution,zero-shot,0,1,0.566,"You can definitely use the Greek yogurt as a substitute for sour cream in your recipe. It will add a creamy texture and tangy flavor. For example, you could make a simple Greek Yogurt Dip with the ing"
S12,substitution,zero-shot,1,1,0.775,"You can make a quick banana smoothie using your pantry ingredients. Here’s a simple recipe:  ### Banana Smoothie  #### Ingredients: - 1 ripe banana (overripe is fine) - 100ml oil (from your pantry, ex"
S13,substitution,zero-shot,0,1,0.466,You can use the canned chickpeas as a substitute for tahini in your recipe. Chickpeas can add both texture and flavor to dishes like hummus or spread a mashed chickpea mixture over vegetables or whole
S14,substitution,zero-shot,0,1,0.273,You can make a quick bread using your available ingredients! Here’s a simple recipe for pancakes:  ### Ingredients: - Milk: 200ml (uses up some of what you have) - Butter: 50g (uses up most of what yo
S15,substitution,zero-shot,1,1,0.435,You can make a simple vinaigrette using your vinegar and some extra-virgin olive oil for this dish. Here’s how you can do it:  ### Simple Vinaigrette Recipe  **Ingredients:** - 50ml Vinegar (expires 2
S16,expiry,zero-shot,1,N/A,0.372,"Given the available ingredients with short expiration dates (spinach expires on 2026-05-09), you can prepare a simple and nutritious dish like Spinach and Egg Omelette. This recipe uses all of your av"
S17,expiry,zero-shot,0,N/A,0.312,"Given that your milk expires on May 10th and your bananas are also nearing expiration by the end of May, you can make a quick and easy breakfast option using those ingredients. Here’s a simple recipe:"
S18,expiry,zero-shot,1,N/A,0.347,"Given the ingredients you have and their expiration dates, let's focus on a quick and simple recipe that uses some of your soon-to-expire items. How about a **Garlic Butter Chicken**?  ### Ingredients"
S19,expiry,zero-shot,0,N/A,0.423,"Given the expiration dates, you have a few days left with some of your key ingredients. Let's start with something simple that uses two ingredients—soy sauce and tofu—and benefits from having garlic o"
S20,expiry,zero-shot,1,N/A,0.346,"Given the ingredients you have and their expiration dates, let's focus on making a quick and simple recipe that uses up some of these ingredients. Considering the greek yogurt expires soonest (2026-05"
S01,recipe,few-shot,0,N/A,0.444,"Certainly! With the ingredients you have—rice (500g), canned tomatoes (400g), and garlic (3 cloves)—you can make a simple and comforting Rice and Tomato Soup. This dish uses up the rice before it expi"
S02,recipe,few-shot,1,N/A,0.288,"Sure! You can use the ingredients you have to make a quick and simple Spinach Egg Pancakes. Here’s how:  ### Ingredients: - Eggs: 4 (use all of them) - Flour: 200g (use all of it, since it's not expir"
S03,recipe,few-shot,1,N/A,0.395,"Given the ingredients you have—potatoes (6), olive oil (200ml), rosemary (fresh), garlic (2 cloves), salt, and pepper—you can make a simple yet delicious potato dish. Here’s a recipe for Roasted Garli"
S04,recipe,few-shot,1,N/A,0.501,"Given your pantry ingredients of lentils, canned tomatoes, onion, cumin, olive oil, and garlic, you can make a hearty Lentil Stew that uses up the available ingredients before they expire. Here’s a si"
S05,recipe,few-shot,0,N/A,0.338,"Certainly! Given your available ingredients—oats (expires 2026-09-01), banana (expires 2026-05-10), honey (expires 2027-01-01), cinnamon (expires 2026-11-01), and milk (expires 2026-05-11)—you can mak"
S06,substitution,few-shot,0,1,0.216,You can use olive oil for your pasta sauce instead of butter. Just make sure to sauté your garlic and lemon slices with the olive oil before adding the sauce ingredients. This will add a nice flavor w
S07,substitution,few-shot,0,1,0.437,"Since you don't have buttermilk but have yoghurt and lemon juice, you can make a simple buttermilk substitute by mixing 1/4 cup of plain yoghurt with 1 tablespoon of lemon juice. Let it sit for about "
S08,substitution,few-shot,0,1,0.46,"Since you don't have sugar but you do have honey, you can use it as a sweetener in recipes where sugar is typically used. For example, if you were making cookies or cakes, you could reduce the amount "
S09,substitution,few-shot,1,1,0.37,"You can make a delicious apple pie using your applesauce and the remaining ingredients you might have on hand! Here’s how:  1. Preheat your oven to 375°F (190°C). 2. In a mixing bowl, combine your app"
S10,substitution,few-shot,0,1,0.404,"Since you're short on chicken broth, you can use vegetable broth as a suitable substitute. For instance, you could make a simple vegetable soup using the onion and garlic you have, along with the vege"
S11,substitution,few-shot,0,1,0.382,"Since you're looking for an alternative to sour cream, we can try using Greek yogurt as a substitute. Here’s a simple recipe you can make:  Make a quick creamy sauce: Mix 150g of greek yogurt with som"
S12,substitution,few-shot,1,1,0.272,"You can make a simple sandwich using your pantry ingredients. Here’s what you can do:  Use the banana for a spread or sweetener. Take some oil and sugar (since they expire soon), and mix them to creat"
S13,substitution,few-shot,0,1,0.389,"Since you don't have tahini but have olive oil, lemon, garlic, and canned chickpeas, you could try making a simple hummus-like dip. Here’s how:  **Simple Chickpea Dip with Lemon and Garlic:** - Drain "
S14,substitution,few-shot,0,1,0.307,"You can substitute heavy cream with milk or half-and-half for many recipes where it adds richness without needing full-fat cream. For a simple substitution in cooking, you could make a creamy sauce by"
S15,substitution,few-shot,1,1,0.325,"You can use the vinegar you have to make a simple vinaigrette for your salad. Mix 50ml of vinegar with water in a ratio that suits your taste (for example, half vinegar and half water) to create a tan"
S16,expiry,few-shot,1,N/A,0.455,"Given that your ingredients are almost expired, you can make use of the remaining fresh spinach quickly. Here’s a simple recipe:  **Spinach Omelette:** - Use the 100g of spinach (it expires tomorrow) "
S17,expiry,few-shot,1,N/A,0.299,"Given that the banana (expires 2026-05-09) is about to expire soon, you can use it to make a quick and easy banana oat smoothie. Here’s how:  **Banana Oat Smoothie**  *Ingredients:* - 1 ripe banana - "
S18,expiry,few-shot,0,N/A,0.425,"Given that you have garlic (expires 2026-05-20), lemon (expires 2026-05-20), and olive oil (expires 2026-09-01) in your pantry, let's focus on using these ingredients before they expire. Here’s a simp"
S19,expiry,few-shot,1,N/A,0.395,"Given the ingredients you have that are about to expire soon—soy sauce (expires 2026-12-01), garlic (expires 2026-05-20), and ginger (expires 2026-05-13)—you can prepare a quick and easy dish like Soy"
S20,expiry,few-shot,1,N/A,0.398,Given the ingredients you have that are close to expiring:  - Greek yogurt (expires 2026-05-10) - Honey (expires 2027-01-01) - Oats (expires 2026-09-01) - Berries (expires 2026-05-09) - Lemon (expires
S01,recipe,chain-of-thought,0,N/A,0.315,"Let's break down the situation step by step to create a simple yet nutritious dish using the ingredients you have on hand: rice, canned tomatoes, and garlic.  ### Step 1: Identify Expiring Ingredients"
